Capital,LatX,LonY
Montgomery,32.361538,-86.279118
Juneau,58.301935,-134.41974
Phoenix,33.448457,-112.073844
Little Rock,34.736009,-92.331122
Sacramento,38.555605,-121.468926
Denver,39.7391667,-104.984167
Hartford,41.767,-72.677
Dover,39.161921,-75.526755
Tallahassee,30.4518,-84.27277
Atlanta,33.76,-84.39
Honolulu,21.30895,-157.826182
Boise,43.613739,-116.237651
Springfield,39.78325,-89.650373
Indianapolis,39.790942,-86.147685
Des Moines,41.590939,-93.620866
Topeka,39.04,-95.69
Frankfort,38.197274,-84.86311
Baton Rouge,30.45809,-91.140229
Augusta,44.323535,-69.765261
Annapolis,38.972945,-76.501157
Boston,42.2352,-71.0275
Lansing,42.7335,-84.5467
Saint Paul,44.95,-93.094
Jackson,32.32,-90.207
Jefferson City,38.572954,-92.189283
Helana,46.595805,-112.027031
Lincoln,40.809868,-96.675345
Carson City,39.160949,-119.753877
Concord,43.220093,-71.549127
Trenton,40.221741,-74.756138
Santa Fe,35.667231,-105.964575
Albany,42.659829,-73.781339
Raleigh,35.771,-78.638
Bismarck,48.813343,-100.779004
Columbus,39.962245,-83.000647
Oklahoma City,35.482309,-97.534994
Salem,44.931109,-123.029159
Harrisburg,40.269789,-76.875613
Providence,41.82355,-71.422132
Columbia,34,-81.035
Pierre,44.367966,-100.336378
Nashville,36.165,-86.784
Austin,30.266667,-97.75
Salt Lake City,40.7547,-111.892622
Montpelier,44.26639,-72.57194
Richmond,37.54,-77.46
Olympia,47.042418,-122.893077
Charleston,38.349497,-81.633294
Madison,43.074722,-89.384444
Cheyenne,41.145548,-104.802042
