Source,Target,Type
BLANDA-CHARLES,SMALDONE-EUGENE,"""undirected"""
SALERNO-ANTHONY,ALBERO-CHARLES,"""undirected"""
CARUSO-FRANK,NOBILE-GEORGE,"""undirected"""
POLLINO-DOMINICK,RICCOBENE-HARRY,"""undirected"""
LISI-GAETANO,MARI-FRANK,"""undirected"""
LOMBARDO-PIETRO,MATRANGA-FRANK,"""undirected"""
PROFACI-FRANK,PROFACI-GIUSEPPE,"""undirected"""
DIVARCO-JOSEPH,SICA-JOSEPH,"""undirected"""
LOMBARDO-JOSEPH,CUCCHIARA-FRANK,"""undirected"""
DAGOSTINO-DOMINICK,CARLISI-ROSARIO,"""undirected"""
LOCOCO-THOMAS,FILARDO-JOSEPH,"""undirected"""
MELI-VINCENT,MELI-ANGELO,"""undirected"""
IPPOLITO-FRANK,LAZZARA-AUGUSTINE,"""undirected"""
ALDERISIO-FELIX,GIANCANA-SAM,"""undirected"""
DESIMONE-FRANK,SICA-JOSEPH,"""undirected"""
BARRA-JOSEPH,PISCIOTTA-ROSARIO,"""undirected"""
DEMARTINO-BENJAMIN,DEMARTINO-THEODORE,"""undirected"""
ABBRESCIA-ANGELO,SANTORO-SALVATORE,"""undirected"""
GUIPPONE-ROBERT,MAZZIE-ROCCO,"""undirected"""
BEHRMAN-NATHAN,VELLUCCI-ANTHONY,"""undirected"""
LANSKY-MEYER,ACCARDO-ANTHONY,"""undirected"""
LOCASCIO-CARMINE,MARONE-JOSEPH,"""undirected"""
VADALA-ANTHONY,QUASARANO-RAFFAELE,"""undirected"""
LOPICCOLO-GIUSEPPE,GAMBINO-PAOLO,"""undirected"""
SCOZZARI-SIMONE,ADAMO-GIUSEPPE,"""undirected"""
LESSA-DANIEL,TOLENTINO-NICHOLAS,"""undirected"""
FINAZZO-SALVATORE,PRIZIOLA-JOHN,"""undirected"""
LOMBARDO-PIETRO,MELI-ANGELO,"""undirected"""
GAMBINO-CARLO,SCALICI-GIACOMO,"""undirected"""
DIMAGGIO-ROSARIO,PRISINZANO-FRANK,"""undirected"""
PAPALARDO-SYLVESTER,PIERI-SALVATORE,"""undirected"""
DRAGNA-FRANK-TWOEYE,DRAGNA-LOUIS,"""undirected"""
DANIELLO-JOHN,MANFREDI-JOSEPH,"""undirected"""
MANFREDONIA-RICHARD,ALTIMARI-MICHAEL,"""undirected"""
POLICASTRO-PETER,PRESINZANO-ANGELO,"""undirected"""
DELUCA-FRANK,LOPIPARO-ANTHONY,"""undirected"""
MATRANGA-FRANK,MIRABILE-PAUL,"""undirected"""
TERRANOVA-JOHN,MAURO-VINCENZO,"""undirected"""
BENDENELLI-JOSEPH,MANCUSO-ANTHONY,"""undirected"""
MANNARINO-GABRIEL,STIRONE-NICHOLAS,"""undirected"""
PURPURA-JOSEPH,PATRIARCA-RAYMOND,"""undirected"""
ROMANO-NUNZIO,MAZZIE-ROCCO,"""undirected"""
SANTORO-SALVATORE,RAO-JOSEPH,"""undirected"""
POLICASTRO-PETER,GALANTE-CARMINE,"""undirected"""
MARONE-JOSEPH,VINTALORO-JAMES,"""undirected"""
PALADINO-CARMINE,BENDENELLI-JOSEPH,"""undirected"""
CLEMENTE-JOSEPH,MORSELLINO-VINCENZO,"""undirected"""
CLEMENTE-MICHAEL,DIPALERMO-JOSEPH,"""undirected"""
COPPOLA-MICHAEL,STROLLO-ANTHONY,"""undirected"""
MARINO-LORENZO,RANZINO-ANTHONY,"""undirected"""
CICCONE-ANTHONY,MAZZIE-ROCCO,"""undirected"""
GRECO-FRANK,STRACCI-JOSEPH,"""undirected"""
PAGANO-JOSEPH,RAGONE-JOSEPH,"""undirected"""
GUIPPONE-ROBERT,SANCINELLA-ROCCO,"""undirected"""
BONADIO-PAUL,STROLLO-ANTHONY,"""undirected"""
DEMARTINO-THEODORE,TOCCO-JOSEPH,"""undirected"""
LIMANDRI-JOSEPH,DRAGNA-LOUIS,"""undirected"""
CORALLUZZO-EARL,BARRA-JOSEPH,"""undirected"""
DIECIDUE-ANTONIO,DIECIDUE-FRANK,"""undirected"""
TANTILLO-ENRICO,MARONE-JOSEPH,"""undirected"""
TOURINE-CHARLES-JR,COSTIGLIA-FRANCISCO,"""undirected"""
BONURA-JOSEPH,BONURA-NICHOLAS,"""undirected"""
