"Source","Target"
"CEK","OVB"
"GVA","LPA"
"JIB","JED"
"GGT","GHB"
"FDF","SDQ"
"YEG","YXY"
"YXY","YYC"
"CGN","NDR"
"BET","MLL"
"BET","NME"
"KUK","NUP"
"NME","OOK"
"NUP","BET"
"OOK","TNK"
"KIX","MNL"
"KLO","MNL"
"MNL","SIN"
"YBK","YXN"
"RTB","GUA"
"BOM","PAT"
"DEL","DIB"
"IXR","BOM"
"MJZ","OVB"
"CEB","ICN"
"CEB","PUS"
"ICN","MNL"
"YEG","YZF"
"YEK","YXN"
"YFB","YOW"
"YFB","YRT"
"YRT","YBK"
"YRT","YEK"
"YRT","YZF"
"YWG","YRT"
"YXN","YRT"
"ABL","SHG"
"BET","KUK"
"BET","OOK"
"CKD","SLQ"
"HSL","KYU"
"KKA","UNK"
"KWK","BET"
"KYU","GAL"
"MLL","RSH"
"NME","TNK"
"OBU","ABL"
"OBU","OTZ"
"OTZ","SHG"
"RSH","BET"
"SCM","BET"
"SHG","OBU"
"SLQ","ANI"
"WBB","UNK"
"CUR","AUA"
"CUR","SDQ"
"SDQ","SXM"
"NUX","SVX"
"OVB","SVX"
"RSH","ANI"
"BKK","ICN"
"CKG","HKT"
"ABL","OTZ"
"KKA","SKK"
"KVL","OTZ"
"KVL","PHO"
"OME","UNK"
"OME","WBB"
"OTZ","PHO"
"SKK","OME"
"SKK","UNK"
"WAA","OME"
"AUA","CCS"
"AUA","MIA"
"AUA","VLN"
"CGO","KMG"
"CKG","KMG"
"CKG","LJG"
"CSX","FOC"
"CSX","KMG"
"CTU","JZH"
"CTU","KMG"
"CTU","TSN"
"JHG","KMG"
"KMG","KWE"
"KMG","TNA"
"KMG","XIY"
"RGN","SIN"
"BRC","CRD"
"REL","BRC"
"RGL","USH"
"AKP","FAI"
"BTT","AKP"
"FAI","BTT"
"FAI","GAL"
"HSL","HUS"
"HUS","FAI"
"KYU","FAI"
"CKG","PVG"
"CTU","SJW"
"DLC","HGH"
"KMG","PVG"
"KWL","SJW"
"MIG","SHA"
"URC","XIY"
"JED","NDJ"
"YYC","YEG"
"AUA","MAR"
"CCS","CUR"
"AMD","BOM"
"AMD","DEL"
"BKK","DEL"
"BLR","BOM"
"BLR","CCU"
"BLR","COK"
"BLR","DEL"
"BLR","GOI"
"BLR","HYD"
"BLR","MAA"
"BLR","PNQ"
"BLR","TRV"
"BLR","VTZ"
"BOM","CCU"
"BOM","CJB"
"BOM","COK"
"BOM","DEL"
"BOM","DXB"
"BOM","GOI"
"BOM","HYD"
"BOM","IDR"
"BOM","JAI"
"BOM","MAA"
"BOM","MCT"
"BOM","NAG"
"BOM","TRV"
"CCU","DAC"
"CCU","DEL"
"CCU","GAU"
"CCU","IXB"
"CCU","IXR"
"CCU","PAT"
"CJB","MAA"
"COK","MAA"
"DEL","DXB"
"DEL","GAU"
"DEL","HYD"
"DEL","IDR"
"DEL","IXB"
"DEL","IXR"
"DEL","KTM"
"DEL","MAA"
"DEL","PAT"
"DEL","PNQ"
"DEL","RPR"
"DEL","SXR"
"DEL","VNS"
"DIB","GAU"
"HYD","MAA"
"HYD","PNQ"
"MAA","SIN"
"RPR","BHO"
"DUS","HER"
"DUS","SKG"
"HAJ","SKG"
"HER","TXL"
"SKG","STR"
"TBS","TLV"
"ATH","LHR"
"ATH","PHL"
"BJL","DKR"
"BOM","LHR"
"CLT","CRW"
"CLT","PWM"
"CUR","MIA"
"DCA","CRW"
"DCA","PWM"
"DEL","LHR"
"DFW","BNE"
"DFW","CRW"
"DFW","EZE"
"DFW","SPI"
"EIS","SJU"
"EZE","JFK"
"EZE","MIA"
"GYE","UIO"
"HAM","LHR"
"ICN","NRT"
"JFK","LCY"
"KUL","SIN"
"LAS","LAX"
"LHR","STR"
"LHR","TXL"
"LIR","SJO"
"MEX","MIA"
"MIA","CWB"
"MIA","LPB"
"MIA","PUJ"
"PHL","PWM"
"POA","MIA"
"SYD","DFW"
"VVI","MIA"
"AGP","STR"
"AGP","TXL"
"AUH","DUS"
"AYT","CGN"
"BCN","DUS"
"BEG","STR"
"BSL","LHR"
"CAG","DUS"
"CFU","CGN"
"CGN","CLY"
"CGN","IBZ"
"CGN","KGS"
"CGN","LPA"
"CGN","OLB"
"CGN","PMI"
"CGN","SAW"
"CGN","TXL"
"CTA","DUS"
"CTA","STR"
"CTA","TXL"
"DFW","FRA"
"DRS","DUS"
"DTM","PMI"
"DUS","IBZ"
"DUS","JFK"
"DUS","LAX"
"DUS","MAD"
"DUS","MIA"
"DUS","MXP"
"DUS","NUE"
"DUS","OLB"
"DUS","ORD"
"DUS","PMI"
"DUS","RSW"
"DUS","VCE"
"FAO","HAM"
"FCO","TXL"
"FRA","GCI"
"FRA","LHR"
"FUE","SZG"
"FUE","VIE"
"HAJ","LHR"
"HAJ","PMI"
"HAJ","STR"
"HAJ","VIE"
"HAM","HER"
"HAM","NUE"
"HAM","OLB"
"HAM","PMI"
"HAM","SKG"
"HAM","STR"
"HAM","VIE"
"HEL","TXL"
"HER","MUC"
"HER","VIE"
"HKT","BKK"
"IBZ","STR"
"IBZ","TXL"
"JER","FRA"
"JFK","TXL"
"LHR","MUC"
"LHR","VIE"
"LHR","ZRH"
"LPA","ZRH"
"MIA","TXL"
"MUC","AOK"
"MUC","SKG"
"NAP","STR"
"NUE","KGS"
"NUE","SKG"
"NUE","TXL"
"OLB","STR"
"ORD","TXL"
"PMI","STR"
"PMI","TXL"
"SAW","STR"
"STR","TXL"
"SZG","ACE"
"TXL","VIE"
"VIE","ACE"
"ABJ","OUA"
"BAH","DOH"
"BKK","NRT"
"BRU","BJM"
"BRU","COO"
"BRU","LAD"
"BRU","YYZ"
"CLT","YYZ"
"DCA","YUL"
"DCA","YYZ"
"DEL","BRU"
"DFW","YYZ"
"EBB","BRU"
"JFK","YYZ"
"LAD","FIH"
"LAS","YVR"
"LAS","YYC"
"LAS","YYZ"
"LAX","YVR"
"LAX","YYC"
"LAX","YYZ"
"LGA","YUL"
"LGA","YYZ"
"LHR","YUL"
"LHR","YVR"
"LHR","YYC"
"LHR","YYZ"
"MCO","YYZ"
"MIA","GUA"
"MIA","YYZ"
"MSY","ORD"
"NBO","BRU"
"NRT","YVR"
