source_city,target_city,Source,Target,latitude.x,longitude.x,aiportname.x,latitude.y,longitude.y,aiportname.y
Chelyabinsk_Russia,Novosibirsk_Russia,CEK,OVB,55.305801,61.5033,Chelyabinsk Balandino Airport,55.0126,82.650703,Tolmachevo Airport
Geneva_Switzerland,Gran Canaria_Spain,GVA,LPA,46.238098,6.10895,Geneva Cointrin International Airport,27.9319,-15.3866,Gran Canaria Airport
Djibouti_Djibouti,Jeddah_Saudi Arabia,JIB,JED,11.5473,43.1595,Djibouti-Ambouli Airport,21.6796,39.156502,King Abdulaziz International Airport
Great Exuma_Bahamas,Governor's Harbor_Bahamas,GGT,GHB,23.562599,-75.877998,Exuma International Airport,25.2847,-76.331001,Governor's Harbour Airport
Fort-de-france_Martinique,Santo Domingo_Dominican Republic,FDF,SDQ,14.591,-61.003201,Martinique Aimé Césaire International Airport,18.429701,-69.6689,Las Américas International Airport
Edmonton_Canada,Whitehorse_Canada,YEG,YXY,53.3097,-113.580002,Edmonton International Airport,60.709599,-135.067001,Whitehorse / Erik Nielsen International Airport
Whitehorse_Canada,Calgary_Canada,YXY,YYC,60.709599,-135.067001,Whitehorse / Erik Nielsen International Airport,51.113899,-114.019997,Calgary International Airport
Cologne_Germany,El Aroui_Morocco,CGN,NDR,50.865898,7.14274,Cologne Bonn Airport,34.9888,-3.02821,Nador International Airport
Bethel_US,Marshall_US,BET,MLL,60.7798,-161.837997,Bethel Airport,61.8643,-162.026001,Marshall Don Hunter Sr Airport
Bethel_US,Nightmute_US,BET,NME,60.7798,-161.837997,Bethel Airport,60.471001,-164.701004,Nightmute Airport
Kasigluk_US,Nunapitchuk_US,KUK,NUP,60.874401,-162.524002,Kasigluk Airport,60.905833,-162.439167,Nunapitchuk Airport
Nightmute_US,Toksook Bay_US,NME,OOK,60.471001,-164.701004,Nightmute Airport,60.541401,-165.087006,Toksook Bay Airport
Nunapitchuk_US,Bethel_US,NUP,BET,60.905833,-162.439167,Nunapitchuk Airport,60.7798,-161.837997,Bethel Airport
Toksook Bay_US,Tununak_US,OOK,TNK,60.541401,-165.087006,Toksook Bay Airport,60.575556,-165.271667,Tununak Airport
Osaka_Japan,Manila_Philippines,KIX,MNL,34.427299,135.244003,Kansai International Airport,14.5086,121.019997,Ninoy Aquino International Airport
Kalibo_Philippines,Manila_Philippines,KLO,MNL,11.6794,122.376,Kalibo International Airport,14.5086,121.019997,Ninoy Aquino International Airport
Manila_Philippines,Singapore_Singapore,MNL,SIN,14.5086,121.019997,Ninoy Aquino International Airport,1.35019,103.994003,Singapore Changi Airport
Baker Lake_Canada,Whale Cove_Canada,YBK,YXN,64.298897,-96.077797,Baker Lake Airport,62.240002,-92.598099,Whale Cove Airport
Roatan_Honduras,Guatemala City_Guatemala,RTB,GUA,16.316799,-86.523003,Juan Manuel Galvez International Airport,14.5833,-90.527496,La Aurora Airport
Mumbai_India,Patina_India,BOM,PAT,19.088699,72.867897,Chhatrapati Shivaji International Airport,25.591299,85.087997,Lok Nayak Jayaprakash Airport
Delhi_India,Mohanbari_India,DEL,DIB,28.5665,77.103104,Indira Gandhi International Airport,27.4839,95.016899,Dibrugarh Airport
Ranchi_India,Mumbai_India,IXR,BOM,23.314301,85.321701,Birsa Munda Airport,19.088699,72.867897,Chhatrapati Shivaji International Airport
Mirnyj_Russia,Novosibirsk_Russia,MJZ,OVB,62.534698,114.039001,Mirny Airport,55.0126,82.650703,Tolmachevo Airport
Cebu_Philippines,Seoul_South Korea,CEB,ICN,10.3075,123.978996,Mactan Cebu International Airport,37.469101,126.450996,Incheon International Airport
Cebu_Philippines,Busan_South Korea,CEB,PUS,10.3075,123.978996,Mactan Cebu International Airport,35.179501,128.938004,Gimhae International Airport
Seoul_South Korea,Manila_Philippines,ICN,MNL,37.469101,126.450996,Incheon International Airport,14.5086,121.019997,Ninoy Aquino International Airport
Edmonton_Canada,Yellowknife_Canada,YEG,YZF,53.3097,-113.580002,Edmonton International Airport,62.462799,-114.440002,Yellowknife Airport
Eskimo Point_Canada,Whale Cove_Canada,YEK,YXN,61.0942,-94.070801,Arviat Airport,62.240002,-92.598099,Whale Cove Airport
Iqaluit_Canada,Ottawa_Canada,YFB,YOW,63.756402,-68.555801,Iqaluit Airport,45.322498,-75.669197,Ottawa Macdonald-Cartier International Airport
Iqaluit_Canada,Rankin Inlet_Canada,YFB,YRT,63.756402,-68.555801,Iqaluit Airport,62.811401,-92.115799,Rankin Inlet Airport
Rankin Inlet_Canada,Baker Lake_Canada,YRT,YBK,62.811401,-92.115799,Rankin Inlet Airport,64.298897,-96.077797,Baker Lake Airport
Rankin Inlet_Canada,Eskimo Point_Canada,YRT,YEK,62.811401,-92.115799,Rankin Inlet Airport,61.0942,-94.070801,Arviat Airport
