source,target,weight
1001,47093,17
1001,47037,7
1001,29510,11
1001,28049,5
1001,27037,7
1001,22057,11
1001,22043,23
1001,22017,9
1001,13285,15
1001,13215,22
1001,13201,71
1001,12057,5
1001,12005,17
1001,1131,33
1001,1125,10
1001,1123,20
1001,1121,7
1001,1117,96
1001,1115,8
1001,1101,11306
1001,1097,49
1001,1089,17
1001,1087,31
1001,1085,97
1001,1081,79
1001,1077,8
1001,1073,271
1001,1053,14
1001,1051,2186
1001,1047,296
1001,1043,27
1001,1021,504
1001,1013,6
1001,1001,8828
1003,51153,16
1003,48439,6
1003,48303,4
1003,48201,205
1003,48167,20
1003,48157,2
1003,48113,14
1003,48029,4
1003,48005,6
1003,47189,2
1003,47157,8
1003,47065,27
1003,47037,2
1003,42125,34
1003,40143,9
1003,39153,3
1003,36085,32
1003,36065,10
1003,36061,8
1003,36029,1
1003,34035,17
1003,28121,19
1003,28105,9
1003,28087,13
1003,28073,13
1003,28067,26
1003,28065,11
1003,28061,31
1003,28059,421
1003,28047,139
1003,28045,4
1003,27053,20
1003,25017,105
1003,24041,5
1003,24031,9
1003,23017,33
1003,22109,108
1003,22071,40
1003,22057,29
1003,22051,114
1003,22033,12
1003,22019,52
1003,22017,10
1003,20091,21
1003,19113,25
1003,18039,48
1003,17157,11
1003,17019,16
1003,13295,35
1003,13215,15
1003,13153,26
1003,13135,27
1003,13121,16
1003,13089,111
1003,13077,3
1003,13063,18
1003,12113,102
1003,12095,13
1003,12091,111
1003,12086,14
1003,12057,22
1003,12033,3193
1003,12031,20
1003,11001,167
1003,6073,81
1003,6071,23
1003,6037,10
1003,5143,4
1003,4013,30
1003,2185,12
1003,1129,128
1003,1125,96
1003,1117,4
1003,1109,32
1003,1101,177
1003,1099,36
1003,1097,16350
1003,1089,25
1003,1083,39
1003,1081,24
1003,1077,32
1003,1073,121
1003,1053,748
1003,1049,15
1003,1047,32
1003,1041,11
1003,1035,21
1003,1033,8
1003,1025,25
1003,1015,29
1003,1013,9
1003,1003,60659
1005,48201,10
1005,13259,53
1005,13243,75
1005,13239,116
1005,13215,130
1005,13177,21
