source,target,weight
Aberdeen; SD,Brookings; SD,18
Aberdeen; SD,Fargo; ND-MN,31
Aberdeen; SD,Huron; SD,12
Aberdeen; SD,Miami-Fort Lauderdale-West Palm Beach; FL,17
Aberdeen; SD,Minneapolis-St. Paul-Bloomington; MN-WI,27
Aberdeen; SD,Phoenix-Mesa-Scottsdale; AZ,19
Aberdeen; SD,Pierre; SD,13
Aberdeen; SD,Rapid City; SD,21
Aberdeen; SD,Sioux Falls; SD,100
Aberdeen; SD,Watertown; SD,33
Aberdeen; WA,Bellingham; WA,15
Aberdeen; WA,Bremerton-Silverdale; WA,24
Aberdeen; WA,Centralia; WA,73
Aberdeen; WA,Kennewick-Richland; WA,14
Aberdeen; WA,Las Vegas-Henderson-Paradise; NV,18
Aberdeen; WA,Longview; WA,17
Aberdeen; WA,Los Angeles-Long Beach-Anaheim; CA,12
Aberdeen; WA,Mount Vernon-Anacortes; WA,13
Aberdeen; WA,Olympia-Tumwater; WA,341
Aberdeen; WA,Phoenix-Mesa-Scottsdale; AZ,34
Aberdeen; WA,Port Angeles; WA,35
Aberdeen; WA,Portland-Vancouver-Hillsboro; OR-WA,47
Aberdeen; WA,Seattle-Tacoma-Bellevue; WA,323
Aberdeen; WA,Shelton; WA,73
Aberdeen; WA,Spokane-Spokane Valley; WA,26
Aberdeen; WA,Yakima; WA,19
Abilene; TX,Albuquerque; NM,15
Abilene; TX,Amarillo; TX,39
Abilene; TX,Austin-Round Rock; TX,177
Abilene; TX,Bakersfield; CA,12
Abilene; TX,Big Spring; TX,30
Abilene; TX,Brownwood; TX,40
Abilene; TX,Clovis; NM,15
Abilene; TX,College Station-Bryan; TX,14
Abilene; TX,Colorado Springs; CO,15
Abilene; TX,Columbus; OH,15
Abilene; TX,Corpus Christi; TX,23
Abilene; TX,Crestview-Fort Walton Beach-Destin; FL,15
Abilene; TX,Dallas-Fort Worth-Arlington; TX,671
Abilene; TX,El Paso; TX,21
Abilene; TX,Fairbanks; AK,14
Abilene; TX,Houston-The Woodlands-Sugar Land; TX,141
Abilene; TX,Killeen-Temple; TX,23
Abilene; TX,Las Vegas-Henderson-Paradise; NV,34
Abilene; TX,Little Rock-North Little Rock-Conway; AR,26
Abilene; TX,Longview; TX,11
Abilene; TX,Los Angeles-Long Beach-Anaheim; CA,30
Abilene; TX,Lubbock; TX,112
Abilene; TX,McAllen-Edinburg-Mission; TX,10
Abilene; TX,Miami-Fort Lauderdale-West Palm Beach; FL,35
Abilene; TX,Midland; TX,59
Abilene; TX,Mineral Wells; TX,10
Abilene; TX,Montgomery; AL,11
Abilene; TX,Odessa; TX,43
Abilene; TX,Oklahoma City; OK,17
Abilene; TX,Panama City; FL,10
Abilene; TX,Phoenix-Mesa-Scottsdale; AZ,28
Abilene; TX,Rapid City; SD,18
Abilene; TX,San Angelo; TX,98
Abilene; TX,San Antonio-New Braunfels; TX,134
Abilene; TX,San Diego-Carlsbad; CA,21
Abilene; TX,Seattle-Tacoma-Bellevue; WA,27
Abilene; TX,Snyder; TX,13
Abilene; TX,Stephenville; TX,20
Abilene; TX,Sweetwater; TX,76
Abilene; TX,Tampa-St. Petersburg-Clearwater; FL,12
Abilene; TX,Tucson; AZ,11
Abilene; TX,Tulsa; OK,14
Abilene; TX,Tyler; TX,20
Abilene; TX,Urban Honolulu; HI,10
Abilene; TX,Waco; TX,17
Abilene; TX,Warner Robins; GA,10
Abilene; TX,Wichita Falls; TX,49
Ada; OK,Ardmore; OK,24
Ada; OK,Dallas-Fort Worth-Arlington; TX,23
Ada; OK,Duncan; OK,14
Ada; OK,Durant; OK,10
Ada; OK,McAlester; OK,17
Ada; OK,Oklahoma City; OK,187
Ada; OK,Shawnee; OK,49
Ada; OK,Stillwater; OK,11
Ada; OK,Tulsa; OK,39
Adrian; MI,Ann Arbor; MI,283
Adrian; MI,Battle Creek; MI,11
Adrian; MI,Cape Coral-Fort Myers; FL,12
Adrian; MI,Chicago-Naperville-Elgin; IL-IN-WI,18
Adrian; MI,Detroit-Warren-Dearborn; MI,231
Adrian; MI,Flint; MI,15
Adrian; MI,Grand Rapids-Wyoming; MI,27
Adrian; MI,Hillsdale; MI,125
Adrian; MI,Jackson; MI,198
Adrian; MI,Kalamazoo-Portage; MI,14
Adrian; MI,Lansing-East Lansing; MI,29
Adrian; MI,Las Vegas-Henderson-Paradise; NV,10
Adrian; MI,Monroe; MI,118
Adrian; MI,Phoenix-Mesa-Scottsdale; AZ,14
Adrian; MI,Toledo; OH,162
Akron; OH,Ann Arbor; MI,12
Akron; OH,Ashland; OH,23
Akron; OH,Ashtabula; OH,59
Akron; OH,Athens; OH,16
Akron; OH,Atlanta-Sandy Springs-Roswell; GA,106
Akron; OH,Austin-Round Rock; TX,31
Akron; OH,Baltimore-Columbia-Towson; MD,11
Akron; OH,Boston-Cambridge-Newton; MA-NH,17
Akron; OH,Boulder; CO,12
Akron; OH,Buffalo-Cheektowaga-Niagara Falls; NY,13
Akron; OH,Cambridge; OH,13
Akron; OH,Canton-Massillon; OH,1632
Akron; OH,Cape Coral-Fort Myers; FL,90
Akron; OH,Charleston-North Charleston; SC,22
Akron; OH,Charlotte-Concord-Gastonia; NC-SC,90
Akron; OH,Chicago-Naperville-Elgin; IL-IN-WI,130
Akron; OH,Cincinnati; OH-KY-IN,102
Akron; OH,Cleveland-Elyria; OH,3856
Akron; OH,Colorado Springs; CO,14
Akron; OH,Columbus; GA-AL,11
Akron; OH,Columbus; OH,555
Akron; OH,Coshocton; OH,11
Akron; OH,Dallas-Fort Worth-Arlington; TX,106
Akron; OH,Dayton; OH,47
Akron; OH,Deltona-Daytona Beach-Ormond Beach; FL,18
Akron; OH,Denver-Aurora-Lakewood; CO,51
Akron; OH,Detroit-Warren-Dearborn; MI,88
Akron; OH,Erie; PA,12
Akron; OH,Fayetteville; NC,13
Akron; OH,Fort Wayne; IN,14
Akron; OH,Greensboro-High Point; NC,10
Akron; OH,Greenville-Anderson-Mauldin; SC,21
Akron; OH,Hilton Head Island-Bluffton-Beaufort; SC,18
Akron; OH,Houston-The Woodlands-Sugar Land; TX,78
Akron; OH,Indianapolis-Carmel-Anderson; IN,30
Akron; OH,Jacksonville; FL,26
Akron; OH,Jacksonville; NC,17
Akron; OH,Kansas City; MO-KS,11
Akron; OH,Lafayette-West Lafayette; IN,12
